id,date,wp1,wp2,wp3,wp4,wp5,wp6,wp7
58,2011010422,0.348,0.288,0.489,0.259,0.152,0.156,0.025
59,2011010423,0.331,0.292,0.357,0.165,0.243,0.158,0.047
60,2011010500,0.317,0.378,0.341,0.533,0.357,0.099,0.219
61,2011010501,0.366,0.511,0.409,0.339,0.179,0.271,0.098
62,2011010502,0.271,0.439,0.477,0.306,0.173,0.267,0.08
63,2011010503,0.299,0.41,0.482,0.378,0.12,0.32,0.092
64,2011010504,0.34,0.455,0.492,0.451,0.188,0.184,0.112
65,2011010505,0.404,0.493,0.494,0.355,0.161,0.213,0.121
66,2011010506,0.369,0.558,0.534,0.368,0.232,0.358,0.176
67,2011010507,0.371,0.57,0.537,0.429,0.138,0.359,0.166
68,2011010508,0.399,0.582,0.571,0.348,0.175,0.279,0.08
69,2011010509,0.471,0.655,0.517,0.366,0.152,0.28,0.102
70,2011010510,0.364,0.631,0.559,0.32,0.168,0.172,0.125
71,2011010511,0.358,0.601,0.543,0.313,0.181,0.144,0.022
72,2011010512,0.273,0.506,0.471,0.272,0.221,0.178,0.04
73,2011010513,0.269,0.55,0.516,0.378,0.089,0.22,0.169
74,2011010514,0.297,0.483,0.533,0.453,0.102,0.202,0.156
75,2011010515,0.275,0.498,0.54,0.454,0.099,0.22,0.147
76,2011010516,0.272,0.466,0.559,0.486,0.124,0.188,0.116
77,2011010517,0.3,0.505,0.552,0.477,0.132,0.164,0.156
78,2011010518,0.359,0.466,0.555,0.468,0.197,0.142,0.152
79,2011010519,0.318,0.53,0.471,0.456,0.211,0.164,0.159
80,2011010520,0.324,0.491,0.496,0.446,0.095,0.042,0.15
81,2011010521,0.332,0.491,0.513,0.472,0.099,0.073,0.112
82,2011010522,0.464,0.313,0.592,0.544,0.289,0.27,0.34
83,2011010523,0.632,0.296,0.569,0.62,0.423,0.306,0.428
84,2011010600,0.427,0.373,0.637,0.475,0.431,0.232,0.471
85,2011010601,0.249,0.448,0.494,0.252,0.446,0.191,0.263
86,2011010602,0.219,0.454,0.492,0.253,0.447,0.209,0.323
87,2011010603,0.198,0.48,0.457,0.251,0.46,0.181,0.308
88,2011010604,0.175,0.484,0.561,0.166,0.328,0.125,0.25
89,2011010605,0.085,0.454,0.569,0.188,0.329,0.116,0.229
90,2011010606,0.075,0.389,0.592,0.263,0.32,0.132,0.202
91,2011010607,0.064,0.417,0.588,0.264,0.317,0.179,0.24
92,2011010608,0.067,0.365,0.533,0.297,0.34,0.134,0.29
93,2011010609,0.07,0.359,0.526,0.262,0.341,0.144,0.375
94,2011010610,0.08,0.385,0.518,0.273,0.361,0.14,0.298
95,2011010611,0.046,0.343,0.519,0.27,0.244,0.152,0.272
96,2011010612,0,0.363,0.498,0.293,0.239,0.112,0.285
97,2011010801,0.216,0.543,0.609,0.366,0.192,0.281,0.469
98,2011010802,0.067,0.529,0.588,0.302,0.08,0.134,0.449
99,2011010803,0.034,0.473,0.575,0.22,0.057,0.144,0.232
100,2011010804,0.122,0.56,0.492,0.209,0.067,0.197,0.261
101,2011010805,0.135,0.481,0.497,0.194,0.104,0.216,0.171
102,2011010806,0.147,0.322,0.516,0.326,0.122,0.137,0.286
103,2011010807,0.156,0.288,0.582,0.36,0.128,0.072,0.175
104,2011010808,0.105,0.392,0.576,0.116,0.094,0.111,0.171
105,2011010809,0.074,0.342,0.497,0.071,0.081,0.136,0.179
106,2011010810,0.097,0.302,0.405,0.107,0.064,0.128,0.199
107,2011010811,0.148,0.202,0.205,0.224,0.057,0.141,0.262
108,2011010812,0.143,0.144,0.245,0.193,0.076,0.082,0.267
109,2011010813,0.084,0.346,0.551,0.326,0.202,0.231,0.141
110,2011010814,0.034,0.308,0.501,0.153,0.157,0.194,0.072
111,2011010815,0.02,0.436,0.46,0.217,0.135,0.13,0.146
112,2011010816,0.075,0.461,0.49,0.23,0.151,0.111,0.128
113,2011010817,0.122,0.359,0.44,0.267,0.158,0.131,0.123
114,2011010818,0.107,0.361,0.512,0.306,0.224,0.141,0.163
115,2011010819,0.111,0.353,0.545,0.264,0.166,0.142,0.165
116,2011010820,0.098,0.426,0.518,0.204,0.141,0.127,0.024
117,2011010821,0.087,0.423,0.535,0.204,0.162,0.144,0.06
118,2011010822,0.136,0.371,0.388,0.272,0.31,0.243,0.068
119,2011010823,0.245,0.327,0.444,0.445,0.449,0.374,0.295
120,2011010900,0.339,0.441,0.461,0.367,0.378,0.305,0.404
121,2011010901,0.285,0.565,0.612,0.569,0.326,0.516,0.457
122,2011010902,0.319,0.547,0.524,0.588,0.376,0.361,0.44
123,2011010903,0.316,0.621,0.489,0.54,0.305,0.357,0.446
124,2011010904,0.319,0.596,0.51,0.595,0.354,0.361,0.391
125,2011010905,0.306,0.624,0.581,0.589,0.271,0.382,0.421
126,2011010906,0.364,0.583,0.623,0.607,0.228,0.442,0.392
127,2011010907,0.266,0.598,0.52,0.384,0.247,0.316,0.09
128,2011010908,0.28,0.583,0.456,0.422,0.141,0.273,0.217
129,2011010909,0.242,0.543,0.489,0.364,0.128,0.202,0.194
130,2011010910,0.138,0.55,0.554,0.246,0.116,0.178,0.153
131,2011010911,0.218,0.551,0.575,0.36,0.132,0.154,0.139
132,2011010912,0.211,0.587,0.427,0.37,0.135,0.174,0.139
133,2011010913,0.056,0.451,0.464,0.233,0.18,0.175,0.166
134,2011010914,0.197,0.53,0.517,0.457,0.213,0.187,0.167
135,2011010915,0.223,0.587,0.465,0.513,0.309,0.212,0.151
136,2011010916,0.223,0.5,0.483,0.568,0.319,0.327,0.135
137,2011010917,0.219,0.517,0.474,0.489,0.289,0.316,0.19
138,2011010918,0.217,0.486,0.52,0.56,0.3,0.298,0.046
139,2011010919,0.233,0.471,0.55,0.533,0.377,0.174,0.071
140,2011010920,0.101,0.546,0.518,0.432,0.453,0.179,0.093
141,2011010921,0.061,0.543,0.475,0.373,0.447,0.228,0.092
142,2011010922,0.055,0.42,0.527,0.34,0.437,0.242,0.165
143,2011010923,0.123,0.422,0.473,0.373,0.461,0.218,0.184
144,2011011000,0.318,0.321,0.44,0.258,0.499,0.271,0.118
145,2011011113,0.05,0.255,0.274,0.12,0.093,0.128,0.107
146,2011011114,0.069,0.299,0.339,0.134,0.102,0.111,0.088
147,2011011115,0.076,0.32,0.186,0.171,0.103,0.116,0.045
148,2011011116,0.111,0.305,0.478,0.277,0.15,0.081,0.077
149,2011011117,0.266,0.273,0.466,0.372,0.1,0.082,0.229
150,2011011118,0.267,0.27,0.449,0.397,0.07,0.098,0.295
151,2011011119,0.148,0.265,0.471,0.372,0.114,0.045,0.065
152,2011011120,0.05,0.268,0.313,0.166,0.125,0.066,0.096
153,2011011121,0.021,0.272,0.179,0.093,0.074,0.121,0.097
154,2011011122,0.052,0.269,0.166,0.112,0.08,0.112,0.098
155,2011011123,0.121,0.299,0.182,0.145,0.135,0.107,0.141
156,2011011200,0.074,0.366,0.245,0.265,0.22,0.129,0.224
157,2011011201,0.328,0.469,0.695,0.342,0.129,0.278,0.137
158,2011011202,0.358,0.514,0.769,0.444,0.154,0.291,0.296
159,2011011203,0.361,0.512,0.762,0.421,0.215,0.32,0.304
160,2011011204,0.397,0.436,0.737,0.36,0.194,0.288,0.284
161,2011011205,0.35,0.444,0.67,0.339,0.216,0.313,0.333
162,2011011206,0.301,0.46,0.706,0.293,0.184,0.321,0.274
163,2011011207,0.228,0.488,0.688,0.371,0.183,0.167,0.291
164,2011011208,0.207,0.478,0.447,0.322,0.181,0.215,0.206
165,2011011209,0.257,0.455,0.343,0.293,0.307,0.265,0.176
166,2011011210,0.221,0.399,0.293,0.273,0.295,0.239,0.13
167,2011011211,0.29,0.367,0.28,0.23,0.385,0.239,0.097
168,2011011212,0.256,0.381,0.237,0.201,0.242,0.198,0.136
169,2011011213,0.431,0.36,0.333,0.311,0.114,0.321,0.248
170,2011011214,0.516,0.325,0.518,0.365,0.091,0.532,0.41
171,2011011215,0.552,0.332,0.748,0.444,0.172,0.514,0.481
172,2011011216,0.527,0.296,0.543,0.536,0.174,0.611,0.453
173,2011011217,0.545,0.311,0.566,0.526,0.176,0.658,0.54
174,2011011218,0.533,0.312,0.585,0.535,0.172,0.667,0.498
175,2011011219,0.537,0.31,0.695,0.476,0.238,0.386,0.447
176,2011011220,0.528,0.326,0.53,0.387,0.222,0.273,0.292
177,2011011221,0.454,0.407,0.456,0.463,0.215,0.172,0.25
178,2011011222,0.368,0.518,0.444,0.502,0.226,0.166,0.251
179,2011011223,0.24,0.507,0.458,0.496,0.164,0.186,0.215
180,2011011300,0.147,0.423,0.431,0.386,0.037,0.337,0.216
181,2011011301,0.144,0.391,0.509,0.243,0.206,0.282,0.123
182,2011011302,0.143,0.374,0.486,0.228,0.212,0.285,0.157
183,2011011303,0.162,0.38,0.464,0.217,0.228,0.264,0.147
184,2011011304,0.172,0.453,0.438,0.184,0.189,0.25,0.121
185,2011011305,0.158,0.479,0.444,0.182,0.193,0.26,0.127
186,2011011306,0.151,0.433,0.454,0.183,0.208,0.254,0.144
187,2011011307,0.134,0.439,0.321,0.228,0.177,0.245,0.143
188,2011011308,0.177,0.378,0.351,0.225,0.217,0.12,0.07
189,2011011309,0.141,0.41,0.293,0.244,0.244,0.136,0.15
190,2011011310,0.096,0.404,0.308,0.251,0.259,0.243,0.152
191,2011011311,0.061,0.381,0.368,0.265,0.283,0.242,0.122
192,2011011312,0.039,0.346,0.32,0.237,0.277,0.166,0.156
193,2011011501,0.473,0.419,0.389,0.678,0.479,0.607,0.48
194,2011011502,0.446,0.279,0.522,0.767,0.5,0.675,0.513
195,2011011503,0.416,0.271,0.564,0.794,0.527,0.646,0.547
196,2011011504,0.466,0.292,0.476,0.524,0.377,0.422,0.621
197,2011011505,0.262,0.429,0.539,0.517,0.313,0.48,0.49
198,2011011506,0.24,0.485,0.372,0.458,0.35,0.415,0.449
199,2011011507,0.146,0.47,0.148,0.414,0.242,0.238,0.288
200,2011011508,0.108,0.378,0.16,0.485,0.184,0.216,0.318
201,2011011509,0.1,0.392,0.24,0.312,0.261,0.184,0.385
202,2011011510,0.177,0.429,0.394,0.41,0.306,0.312,0.448
203,2011011511,0.123,0.392,0.682,0.379,0.137,0.423,0.666
204,2011011512,0.207,0.574,0.695,0.449,0.271,0.423,0.594
205,2011011513,0.262,0.469,0.512,0.621,0.278,0.487,0.553
206,2011011514,0.304,0.42,0.545,0.653,0.368,0.497,0.483
207,2011011515,0.294,0.373,0.571,0.779,0.656,0.415,0.373
208,2011011516,0.376,0.402,0.552,0.65,0.667,0.418,0.431
209,2011011517,0.434,0.363,0.425,0.612,0.685,0.575,0.42
210,2011011518,0.47,0.423,0.502,0.81,0.583,0.584,0.464
211,2011011519,0.429,0.464,0.499,0.509,0.595,0.344,0.284
212,2011011520,0.492,0.489,0.477,0.359,0.388,0.353,0.195
213,2011011521,0.437,0.371,0.472,0.362,0.338,0.294,0.119
214,2011011522,0.391,0.363,0.443,0.313,0.538,0.3,0.092
215,2011011523,0.355,0.36,0.485,0.344,0.581,0.261,0.113
216,2011011600,0.395,0.333,0.593,0.244,0.461,0.331,0.239
217,2011011601,0.438,0.314,0.604,0.446,0.289,0.215,0.183
218,2011011602,0.417,0.345,0.605,0.39,0.241,0.33,0.204
219,2011011603,0.387,0.356,0.601,0.373,0.172,0.324,0.226
220,2011011604,0.423,0.435,0.68,0.357,0.178,0.278,0.307
221,2011011605,0.394,0.388,0.697,0.29,0.173,0.252,0.222
222,2011011606,0.24,0.418,0.562,0.243,0.248,0.285,0.141
223,2011011607,0.12,0.35,0.527,0.107,0.31,0.261,0.031
224,2011011608,0.097,0.276,0.517,0.101,0.333,0.317,0.026
225,2011011609,0.103,0.283,0.525,0.087,0.251,0.276,0.066
226,2011011610,0.049,0.29,0.502,0.062,0.24,0.124,0.014
227,2011011611,0.048,0.342,0.536,0.058,0.306,0.128,0.061
228,2011011612,0.143,0.303,0.523,0.024,0.24,0.193,0.043
229,2011011613,0.027,0.278,0.514,0.072,0.257,0.126,0.108
230,2011011614,0,0.269,0.523,0.095,0.244,0.084,0
231,2011011615,0,0.403,0.499,0.137,0.291,0.086,0
232,2011011616,0.025,0.359,0.549,0.274,0.337,0.212,0.12
233,2011011617,0.109,0.344,0.565,0.362,0.302,0.237,0.11
234,2011011618,0.261,0.342,0.606,0.387,0.329,0.228,0.044
235,2011011619,0.062,0.33,0.638,0.287,0.438,0.147,0.106
236,2011011620,0.062,0.337,0.498,0.217,0.219,0.163,0.065
237,2011011621,0.034,0.301,0.44,0.052,0.187,0.097,0
238,2011011622,0.08,0.256,0.448,0.2,0.195,0.097,0.12
239,2011011623,0.06,0.241,0.497,0.343,0.284,0.191,0.204
240,2011011700,0.334,0.25,0.411,0.353,0.229,0.287,0.124
241,2011011813,0.453,0.401,0.349,0.868,0.251,0.568,0.69
242,2011011814,0.418,0.416,0.377,0.83,0.253,0.616,0.593
243,2011011815,0.408,0.395,0.303,0.771,0.268,0.416,0.439
244,2011011816,0.335,0.434,0.384,0.733,0.342,0.359,0.322
245,2011011817,0.186,0.357,0.238,0.502,0.184,0.198,0.254
246,2011011818,0.114,0.273,0.104,0.329,0.209,0.144,0.197
247,2011011819,0.048,0.142,0.213,0.145,0.229,0.069,0.154
248,2011011820,0,0.178,0.061,0.055,0.255,0.097,0.123
249,2011011821,0.007,0.226,0.006,0.099,0.122,0.048,0.055
250,2011011822,0.012,0.203,0,0.051,0.148,0.048,0.055
251,2011011823,0.072,0.287,0.083,0.026,0.092,0.076,0.146
252,2011011900,0.026,0.194,0.125,0.213,0.115,0.128,0.241
253,2011011901,0.088,0.427,0.557,0.227,0.362,0.135,0.23
254,2011011902,0.092,0.474,0.582,0.229,0.364,0.192,0.168
255,2011011903,0.149,0.622,0.589,0.298,0.505,0.214,0.17
256,2011011904,0.21,0.683,0.661,0.336,0.358,0.255,0.235
257,2011011905,0.331,0.575,0.663,0.275,0.198,0.184,0.251
258,2011011906,0.262,0.551,0.716,0.352,0.27,0.277,0.381
259,2011011907,0.251,0.569,0.669,0.309,0.218,0.252,0.393
260,2011011908,0.248,0.565,0.667,0.367,0.118,0.16,0.201
261,2011011909,0.152,0.546,0.559,0.299,0.274,0.182,0.2
262,2011011910,0.142,0.478,0.541,0.227,0.292,0.056,0.211
263,2011011911,0.046,0.434,0.481,0.22,0.168,0.077,0.176
264,2011011912,0.058,0.424,0.47,0.098,0.17,0.099,0.165
265,2011011913,0.133,0.5,0.514,0.219,0.01,0.1,0.278
266,2011011914,0.167,0.486,0.532,0.446,0,0.138,0.333
267,2011011915,0.173,0.45,0.503,0.454,0,0.097,0.273
268,2011011916,0.139,0.454,0.537,0.409,0,0.11,0.293
269,2011011917,0.039,0.462,0.494,0.239,0.032,0.107,0.208
270,2011011918,0.006,0.438,0.493,0.113,0.072,0.056,0.054
271,2011011919,0,0.397,0.428,0.151,0.137,0.037,0.007
272,2011011920,0.01,0.394,0.424,0.198,0.167,0.093,0
273,2011011921,0.004,0.345,0.435,0.144,0.122,0.111,0
274,2011011922,0,0.431,0.461,0.137,0.129,0.067,0.067
275,2011011923,0,0.431,0.499,0.146,0.122,0.092,0.127
276,2011012000,0.061,0.508,0.528,0.149,0.235,0.096,0.04
277,2011012001,0.005,0.456,0.533,0.105,0.248,0.11,0.042
278,2011012002,0.006,0.463,0.529,0.091,0.269,0.114,0.052
279,2011012003,0.013,0.469,0.529,0.088,0.243,0.126,0.052
280,2011012004,0.074,0.509,0.533,0.085,0.197,0.127,0.1
281,2011012005,0.119,0.436,0.608,0.143,0.236,0.268,0.151
282,2011012006,0.276,0.392,0.681,0.371,0.314,0.247,0.111
283,2011012007,0.354,0.411,0.618,0.435,0.334,0.178,0.135
284,2011012008,0.362,0.406,0.625,0.487,0.314,0.139,0.061
285,2011012009,0.357,0.465,0.622,0.45,0.272,0.19,0.074
286,2011012010,0.316,0.412,0.552,0.484,0.276,0.311,0.214
287,2011012011,0.324,0.406,0.587,0.569,0.377,0.301,0.36
288,2011012012,0.343,0.366,0.602,0.535,0.328,0.27,0.333
289,2011012201,0.161,0.197,0.182,0.301,0.416,0.064,0.287
290,2011012202,0.205,0.351,0.183,0.237,0.502,0.057,0.111
291,2011012203,0.23,0.38,0.23,0.18,0.479,0.055,0.103
292,2011012204,0.282,0.304,0.119,0.211,0.48,0.083,0.189
293,2011012205,0.296,0.288,0.157,0.368,0.432,0.09,0.102
294,2011012206,0.283,0.365,0.109,0.343,0.414,0.123,0.105
295,2011012207,0.253,0.369,0.06,0.447,0.432,0.137,0.165
296,2011012208,0.278,0.319,0.055,0.399,0.401,0.11,0.208
297,2011012209,0.337,0.262,0.177,0.311,0.284,0.201,0.28
298,2011012210,0.31,0.221,0.512,0.144,0.158,0.188,0.227
299,2011012211,0.246,0.341,0.485,0.191,0.262,0.233,0.256
300,2011012212,0.17,0.244,0.367,0.301,0.358,0.267,0.226
301,2011012213,0.278,0.348,0.566,0.424,0.276,0.429,0.531
302,2011012214,0.264,0.259,0.666,0.361,0.402,0.349,0.558
303,2011012215,0.31,0.272,0.591,0.305,0.399,0.334,0.575
304,2011012216,0.337,0.227,0.721,0.572,0.611,0.354,0.527
305,2011012217,0.35,0.171,0.693,0.687,0.535,0.478,0.465
306,2011012218,0.301,0.224,0.643,0.676,0.589,0.5,0.508
307,2011012219,0.409,0.205,0.717,0.585,0.52,0.391,0.538
308,2011012220,0.385,0.192,0.627,0.526,0.431,0.263,0.556
309,2011012221,0.177,0.27,0.582,0.347,0.411,0.188,0.542
310,2011012222,0.168,0.31,0.419,0.327,0.321,0.156,0.449
311,2011012223,0.169,0.348,0.567,0.271,0.302,0.204,0.651
312,2011012300,0.245,0.372,0.7,0.336,0.357,0.318,0.498
313,2011012301,0.268,0.542,0.743,0.419,0.236,0.496,0.524
314,2011012302,0.321,0.559,0.762,0.346,0.238,0.508,0.481
315,2011012303,0.342,0.463,0.761,0.346,0.296,0.428,0.499
316,2011012304,0.231,0.458,0.691,0.347,0.354,0.466,0.627
317,2011012305,0.181,0.59,0.51,0.197,0.296,0.118,0.145
318,2011012306,0.192,0.551,0.452,0.223,0.223,0.163,0.112
319,2011012307,0.188,0.471,0.454,0.264,0.226,0.153,0.119
320,2011012308,0.145,0.485,0.425,0.25,0.201,0.089,0.099
321,2011012309,0.147,0.434,0.422,0.261,0.181,0.134,0.202
322,2011012310,0.156,0.461,0.418,0.305,0.181,0.223,0.211
323,2011012311,0.252,0.457,0.394,0.3,0.192,0.255,0.168
324,2011012312,0.267,0.456,0.382,0.291,0.273,0.278,0.209
325,2011012313,0.054,0.39,0.376,0.28,0.284,0.288,0.239
326,2011012314,0.063,0.43,0.454,0.289,0.283,0.116,0.166
327,2011012315,0.049,0.487,0.404,0.292,0.283,0.156,0.197
328,2011012316,0.071,0.421,0.434,0.284,0.18,0.179,0.226
329,2011012317,0.058,0.398,0.499,0.312,0.155,0.178,0.225
330,2011012318,0.082,0.402,0.546,0.322,0.183,0.199,0.211
331,2011012319,0.05,0.406,0.491,0.291,0.231,0.216,0.211
332,2011012320,0.037,0.408,0.445,0.173,0.279,0.107,0.141
333,2011012321,0.031,0.398,0.419,0.153,0.285,0.095,0.084
334,2011012322,0.013,0.391,0.446,0.168,0.29,0.15,0.172
335,2011012323,0.047,0.367,0.49,0.276,0.334,0.323,0.231
336,2011012400,0.179,0.37,0.387,0.288,0.497,0.304,0.182
337,2011012513,0.321,0.214,0.51,0.56,0.458,0.456,0.386
338,2011012514,0.29,0.176,0.627,0.557,0.544,0.622,0.411
339,2011012515,0.582,0.276,0.505,0.668,0.675,0.688,0.491
340,2011012516,0.539,0.519,0.464,0.783,0.834,0.647,0.52
341,2011012517,0.516,0.346,0.57,0.798,0.874,0.713,0.559
342,2011012518,0.5,0.286,0.587,0.804,0.761,0.602,0.52
343,2011012519,0.554,0.331,0.521,0.521,0.74,0.453,0.457
344,2011012520,0.411,0.339,0.689,0.424,0.396,0.279,0.35
345,2011012521,0.174,0.14,0.41,0.339,0.523,0.371,0.343
346,2011012522,0.134,0.161,0.419,0.212,0.386,0.27,0.264
347,2011012523,0.143,0.221,0.412,0.291,0.544,0.351,0.194
348,2011012600,0.237,0.239,0.562,0.527,0.521,0.499,0.572
349,2011012601,0.284,0.342,0.765,0.493,0.469,0.5,0.597
350,2011012602,0.471,0.368,0.803,0.606,0.523,0.48,0.597
351,2011012603,0.471,0.357,0.813,0.556,0.647,0.533,0.611
352,2011012604,0.363,0.299,0.848,0.518,0.657,0.541,0.568
353,2011012605,0.312,0.356,0.772,0.4,0.638,0.466,0.393
354,2011012606,0.264,0.331,0.715,0.256,0.593,0.375,0.385
355,2011012607,0.225,0.305,0.723,0.218,0.458,0.371,0.387
356,2011012608,0.209,0.306,0.833,0.219,0.459,0.369,0.332
357,2011012609,0.229,0.259,0.849,0.224,0.486,0.388,0.354
358,2011012610,0.262,0.282,0.848,0.298,0.528,0.411,0.439
359,2011012611,0.304,0.323,0.803,0.346,0.543,0.323,0.511
360,2011012612,0.329,0.385,0.674,0.327,0.465,0.365,0.436
361,2011012613,0.217,0.399,0.566,0.376,0.387,0.239,0.44
362,2011012614,0.172,0.318,0.539,0.258,0.336,0.281,0.369
363,2011012615,0.061,0.269,0.487,0.107,0.324,0.178,0.165
364,2011012616,0.05,0.333,0.494,0.093,0.303,0.173,0.157
365,2011012617,0.021,0.469,0.638,0.124,0.232,0.149,0.01
366,2011012618,0.034,0.461,0.526,0.155,0.21,0.175,0.009
367,2011012619,0.02,0.465,0.487,0.135,0.19,0.169,0.03
368,2011012620,0.028,0.483,0.516,0.113,0.213,0.162,0.031
369,2011012621,0.026,0.481,0.54,0.076,0.179,0.123,0.032
370,2011012622,0.089,0.457,0.495,0.059,0.219,0.207,0.153
371,2011012623,0.245,0.446,0.516,0.372,0.197,0.338,0.271
372,2011012700,0.275,0.339,0.611,0.442,0.221,0.38,0.219
373,2011012701,0.162,0.37,0.486,0.28,0.385,0.241,0.061
374,2011012702,0.077,0.391,0.504,0.133,0.303,0.113,0.049
375,2011012703,0.089,0.355,0.489,0.136,0.351,0.119,0
376,2011012704,0.12,0.374,0.46,0.148,0.325,0.128,0.089
377,2011012705,0.189,0.36,0.651,0.236,0.441,0.287,0.144
378,2011012706,0.305,0.371,0.703,0.236,0.439,0.359,0.116
379,2011012707,0.29,0.407,0.716,0.278,0.427,0.314,0.103
380,2011012708,0.204,0.411,0.723,0.3,0.467,0.323,0.046
381,2011012709,0.195,0.457,0.486,0.297,0.432,0.162,0.125
382,2011012710,0.103,0.475,0.521,0.151,0.368,0.124,0.119
383,2011012711,0.055,0.478,0.518,0.176,0.36,0.114,0.05
384,2011012712,0.051,0.443,0.486,0.122,0.314,0.107,0.063
385,2011012901,0.227,0.379,0.503,0.232,0.489,0.305,0.431
386,2011012902,0.279,0.59,0.614,0.302,0.556,0.317,0.656
387,2011012903,0.244,0.563,0.606,0.338,0.496,0.432,0.674
388,2011012904,0.384,0.42,0.495,0.351,0.376,0.392,0.601
389,2011012905,0.38,0.405,0.506,0.34,0.44,0.561,0.579
390,2011012906,0.314,0.32,0.56,0.393,0.402,0.522,0.532
391,2011012907,0.356,0.367,0.564,0.456,0.312,0.542,0.492
392,2011012908,0.273,0.376,0.594,0.549,0.216,0.476,0.445
393,2011012909,0.293,0.358,0.411,0.261,0.199,0.333,0.513
394,2011012910,0.155,0.241,0.127,0.179,0.188,0.272,0.275
395,2011012911,0.134,0.238,0.167,0.079,0.091,0.095,0.075
396,2011012912,0.031,0.209,0.19,0.081,0.099,0.106,0.131
397,2011012913,0.067,0.548,0.493,0.083,0.066,0.147,0.161
398,2011012914,0.064,0.511,0.534,0.134,0.095,0.164,0.147
399,2011012915,0.035,0.479,0.499,0.128,0.118,0.129,0.064
